#options: 480x854 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=abr mbtree=1 bitrate=3604 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:21.42 aq:12.79 tex:386017 mv:56525 misc:170 imb:1620 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:23.07 aq:14.06 tex:17870 mv:2189 misc:1325 imb:9 pmb:467 smb:1144 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:23.07 aq:11.58 tex:107 mv:270 misc:359 imb:0 pmb:44 smb:1576 d:- ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:22.87 aq:14.12 tex:29497 mv:2358 misc:1009 imb:7 pmb:401 smb:1212 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:22.97 aq:12.69 tex:425 mv:308 misc:291 imb:0 pmb:28 smb:1592 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:22.69 aq:14.22 tex:31728 mv:2450 misc:1262 imb:10 pmb:516 smb:1094 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:22.78 aq:19.44 tex:2160 mv:1033 misc:727 imb:0 pmb:150 smb:1470 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:22.83 aq:16.53 tex:157 mv:124 misc:247 imb:0 pmb:19 smb:1601 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:22.74 aq:16.20 tex:189 mv:94 misc:261 imb:0 pmb:15 smb:1605 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:22.27 aq:13.28 tex:41053 mv:2644 misc:1295 imb:11 pmb:597 smb:1012 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:22.48 aq:18.35 tex:3412 mv:1427 misc:857 imb:0 pmb:224 smb:1396 d:- ref:0 ;
